CV1298	CV1297	CV1086	CV1082	CV1095	CV1299	CV1089	CV1300	CV0857	CV1087	CV1096
Venom_myotoxin	18.6768264259614	20.6574861778688	19.6023438703683	12.8060964319542	21.6446261664004	18.4794178916844	12.7234372229568	17.5597300474689	18.5893550955931	19.760612677245	18.8934444600139
MAP4	8.38513099339194	8.5235524826235	8.04220260962427	7.56019938229393	8.29203005453692	8.24219958261369	8.08154506642417	7.98773682942511	8.22760855199027	8.55305389357531	7.73412354587505
ZNF282	6.81604211317742	6.6963510391306	6.60312991592921	6.53064035911558	6.15392924568936	6.97888783170496	6.85983055999272	6.70891281393158	6.83970454465509	6.94709703581678	6.43914382173785
ZNF267	6.1989469299618	6.0221021398231	5.88339167632112	5.94609013707931	5.86580405748654	6.24199926785486	5.86488565434697	5.59410004165824	5.96631865834451	6.40105576470386	6.2607535917479
SETD2	8.62900436643404	8.48819267602642	9.48343448913013	9.41813366150955	9.88528587694122	8.79374257974121	9.20480266330413	9.03040836594597	9.84318507700037	9.18158727272	8.59342056651743
SETD2.1	8.11744309119474	8.31212003045907	8.33907501642235	7.66063930350512	8.21092183066841	8.48314593948315	8.50357407377429	7.98478104445066	8.64488766777012	7.93737840262949	7.97624869528228
NGFR	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.48783726444286	5.16761950171538	4.95802259446861	4.95802259446861	6.4981760919265	5.18199242901773	4.95802259446861
maker-scaffold-Z-augustus-gene-0.14_crovir-transcript-1692	6.98731715719891	6.11295157292003	6.72761296784686	6.40751986066944	6.11790174447248	7.39937050778116	7.24365315485122	6.12555449871951	6.93518992839491	6.07322313868239	6.43914382173785
maker-scaffold-Z-augustus-gene-0.15_crovir-transcript-1693	8.41149032285371	7.41252099804316	8.23412803279625	8.5728587023531	8.19693907042308	8.85674258730956	8.67323105948207	7.64838679238691	8.30811208496972	7.52168409804193	7.8487105256341
NBEAL1	6.53083931915037	5.49902873068522	6.97668475168557	7.93577965241488	7.05091532610057	7.17179021186663	7.00545427004674	6.56076051547631	6.58301459170272	6.38613637138069	6.46240730012008
NBEAL2	6.94980226609134	6.34388896554731	7.8111446118257	10.132342434776	8.88490382018832	6.74185015255891	8.18938368858554	7.69654635331519	7.91776028245353	7.70852870463389	7.69078693924562
NBEAL2.1	5.73224955739042	5.42722708019568	6.30478120084312	7.96386299554977	6.87692626494314	7.38769362832817	6.54457808240751	6.0712934323013	7.37325836153052	6.27548869594469	7.02132419209136
