Tip100	type	RE_SUM	any_tissuespecific_bound	co_binding_count
SVSP_Cv1-hAT-Tip100_1	CRE	18	1	17
SVSP_Cv1-hAT-Tip100_2	nonCRE	9	0	0
SVSP_Cv1-hAT-Tip100_3	nonCRE	7	1	5
SVSP_Cv1-hAT-Tip100_4	CRE	5	0	4
SVSP_Cv1-hAT-Tip100_5	nonCRE	8	0	13
SVSP_Cv1-hAT-Tip100_6	nonCRE	7	0	7
SVSP_Cv1-hAT-Tip100_7	CRE	15	1	17
SVSP_Cv1-hAT-Tip100_8	nonCRE	10	0	0
SVSP_Cv1-hAT-Tip100_9	CRE	2	0	0
SVSP_Cv1-hAT-Tip100_10	nonCRE	7	0	0
SVSP_Cv1-hAT-Tip100_11	nonCRE	9	0	0
SVSP_Cv1-hAT-Tip100_12	CRE	17	1	24
SVSP_Cv1-hAT-Tip100_13	nonCRE	8	1	4
SVSP_Cv1-hAT-Tip100_14	nonCRE	9	1	5
SVSP_Cv1-hAT-Tip100_15	nonCRE	0	0	0
SVSP_Cv1-hAT-Tip100_16	nonCRE	2	0	0
SVSP_Cv1-hAT-Tip100_17	CRE	22	1	52
SVSP_Cv1-hAT-Tip100_18	nonCRE	8	1	3
SVSP_Cv1-hAT-Tip100_19	nonCRE	7	0	6
SVSP_Cv1-hAT-Tip100_20	nonCRE	8	1	7
SVSP_Cv1-hAT-Tip100_21	CRE	4	0	0
SVSP_Cv1-hAT-Tip100_22	CRE	20	1	45
SVSP_Cv1-hAT-Tip100_23	CRE	18	1	37
SVSP_Cv1-hAT-Tip100_24	CRE	9	0	0
SVSP_Cv1-hAT-Tip100_25	CRE	18	1	10
SVSP_Cv1-hAT-Tip100_26	nonCRE	5	0	0
SVSP_Cv1-hAT-Tip100_27	nonCRE	8	0	2
SVSP_Cv1-hAT-Tip100_28	CRE	16	1	12
SVSP_Cv1-hAT-Tip100_29	nonCRE	4	0	0
SVSP_Cv1-hAT-Tip100_30	nonCRE	9	0	2
SVSP_Cv1-hAT-Tip100_31	nonCRE	18	1	21
SVSP_Cv1-hAT-Tip100_32	nonCRE	16	1	6
SVSP_Cv1-hAT-Tip100_33	CRE	8	0	0
SVSP_Cv1-hAT-Tip100_34	nonCRE	14	1	12
SVSP_Cv1-hAT-Tip100_35	nonCRE	15	1	7
SVSP_Cv1-hAT-Tip100_36	nonCRE	0	0	0
SVSP_Cv1-hAT-Tip100_37	CRE	16	1	26
SVSP_Cat1-hAT-Tip100_1	nonCRE	12	1	3
SVSP_Cat1-hAT-Tip100_2	nonCRE	8	0	0
SVSP_Cat1-hAT-Tip100_3	nonCRE	8	0	0
SVSP_Cat1-hAT-Tip100_4	nonCRE	9	0	3
SVSP_Cat1-hAT-Tip100_5	nonCRE	7	0	0
SVSP_Cat1-hAT-Tip100_6	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_7	CRE	5	0	0
SVSP_Cat1-hAT-Tip100_8	nonCRE	5	0	0
SVSP_Cat1-hAT-Tip100_9	CRE	7	0	0
SVSP_Cat1-hAT-Tip100_10	CRE	14	1	7
SVSP_Cat1-hAT-Tip100_11	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_12	nonCRE	8	0	0
SVSP_Cat1-hAT-Tip100_13	CRE	9	0	0
SVSP_Cat1-hAT-Tip100_14	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_15	nonCRE	10	0	4
SVSP_Cat1-hAT-Tip100_16	nonCRE	10	0	6
SVSP_Cat1-hAT-Tip100_17	CRE	4	1	0
SVSP_Cat1-hAT-Tip100_18	nonCRE	9	0	0
SVSP_Cat1-hAT-Tip100_19	CRE	20	1	27
SVSP_Cat1-hAT-Tip100_20	CRE	5	0	0
SVSP_Cat1-hAT-Tip100_21	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_22	CRE	2	0	0
SVSP_Cat1-hAT-Tip100_23	CRE	14	1	27
SVSP_Cat1-hAT-Tip100_24	CRE	12	1	12
SVSP_Cat1-hAT-Tip100_25	CRE	6	0	0
SVSP_Cat1-hAT-Tip100_26	CRE	11	1	11
SVSP_Cat1-hAT-Tip100_27	nonCRE	3	0	0
SVSP_Cat1-hAT-Tip100_28	nonCRE	4	0	0
SVSP_Cat1-hAT-Tip100_29	CRE	3	0	0
SVSP_Cat1-hAT-Tip100_30	nonCRE	3	0	0
SVSP_Cat1-hAT-Tip100_31	nonCRE	6	0	0
