TFBS_homology_group	Transcription.Factor.Name
L1	NFATC1
L10	NR4A1
L100	TBX3
L1000	FOXC2
L1001	BARX2
L1002	TBX3
L1003	Arid3a
L1004	Arid3a
L1005	SOX10
L1006	NFATC1
L1007	ELF5
L1008	Arid3a
L1009	Arid3a
L101	Ddit3Cebpa
L1010	Arid3a
L1011	SOX9
L1012	Arid3a
L1013	ELF5
L1014	NFATC1
L1015	TBX3
L1016	EHF
L1017	NFATC1
L1018	NFATC1
L1019	ELF5
L102	MEIS1
L1020	ZBTB26
L1021	ELF5
L1022	Arid3a
L1023	Arid3a
L1024	Dlx4
L1025	FOXC2
L1026	Arid3a
L1027	Arid3a
L1028	Arid3a
L1029	MEIS1
L103	NR4A1
L1030	Dlx4
L1031	SOX9
L1032	NFATC1
L1033	SOX10
L1034	BARX2
L1035	SOX9
L1036	NFATC1
L1037	Dlx4
L1038	Dlx4
L1039	TBX3
L104	FOXO4
L1040	FOXC2
L1041	ELF5
L1042	FOXO3
L1043	NFATC1
L1044	FOXO4
L1045	Arid3a
L1046	Arid3a
L1047	Arid3a
L1048	Arid3a
L1049	FOXO4
L105	MEIS1
L1050	Dlx4
L1051	Arid3a
L1052	SOX10
L1053	FOXC2
L1054	FOXC2
L1055	Arid3a
L1056	Arid3a
L1057	FOXC2
L1058	Dlx4
L1059	EHF
L106	Arid3a
L1060	EHF
L1061	CREB3L1
L1062	ATF4
L1063	Dlx4
L1064	NFATC1
L1065	NFATC1
L1066	FOXC2
L1067	NFIX
L1068	Arid3a
L1069	Arid3a
L107	Arid3a
L1070	Arid3a
L1071	Arid3a
L1072	FOXO4
L1073	FOXO3
L1074	ELF5
L1075	Dlx4
L1076	TBX3
L1077	Arid3a
L1078	PITX2
L1079	NFATC1
L108	NR4A1
L1080	Ddit3Cebpa
L1081	RORA
L1082	Arid3a
L1083	NFIX
L1084	SOX9
L1085	SOX10
L1086	JUN
L1087	SOX9
L1088	SOX9
L1089	SOX9
L109	Ddit3Cebpa
L1090	MEIS1
L1091	SOX9
L1092	Arid3a
L1093	Arid3a
L1094	MEIS1
L1095	TBX3
L1096	FOXC2
L1097	Arid3a
L1098	SOX9
L1099	FOXC2
L11	FOXC2
L110	TBX3
L1100	Dlx4
L1101	TBX3
L1102	BARX2
L1103	BARX2
L1104	FOXC2
L1105	Ddit3Cebpa
L1106	NFIX
L1107	FOS
L1108	NFIX
L1109	ELF5
L111	TBX3
L1110	NFIX
L1111	FOS
L1112	MEIS1
L1113	MEIS1
L1114	TBX3
L1115	TBX3
L1116	NFATC1
L1117	Arid3a
L1118	FOXO3
L1119	GRHL2
L112	NFIX
L1120	BARX2
L1121	FOXC2
L1122	FOXC2
L1123	OVOL1
L1124	FIGLA
L1125	Dlx4
L1126	NFIX
L1127	NFIA
L1128	NFIX
L1129	NFIX
L113	NFIX
L1130	SOX9
L1131	NR4A1
L1132	Arid3a
L1133	ZNF652
L1134	NR4A1
L1135	NFIX
L1136	SOX9
L1137	MEIS1
L1138	Dlx4
L1139	BARX2
L114	Dlx4
L1140	BARX2
L1141	BARX2
L1142	EHF
L1143	RORA
L1144	NFATC1
L1145	SOX10
L1146	SOX10
L1147	TBX3
L1148	NFATC1
L1149	ELF5
L115	NR4A1
L1150	Arid3a
L1151	NFATC1
L1152	NFATC1
L1153	NFATC1
L1154	Ddit3Cebpa
L1155	FOXO4
L1156	Dlx4
L1157	SOX9
L1158	BARX2
L1159	BARX2
L116	Ddit3Cebpa
L1160	Arid3a
L1161	MEIS1
L1162	Dlx4
L1163	TBX3
L1164	RORA
L1165	RORA
L1166	RORC
L1167	TBX3
L1168	Irx2
L1169	FOXC2
L117	EHF
L1170	Arid3a
L1171	TBX3
L1172	Irx2
L1173	TBX3
L1174	Arid3a
L1175	PITX2
L1176	FOS
L1177	CREB3L1
L1178	NFIX
L1179	Arid3a
L118	Irx2
L1180	Arid3a
L1181	Dlx4
L1182	PITX2
L1183	SOX9
L1184	SREBF1
L1185	TBX3
L1186	CREB3L1
L1187	TBX3
L1188	SOX9
L1189	SOX9
L119	Irx2
L1190	SOX9
L1191	MEIS1
L1192	SOX9
L1193	SOX9
L1194	SOX9
L1195	SOX9
L1196	SOX9
L1197	SOX9
L1198	SOX9
L1199	TBX3
L12	SREBF1
L120	Ddit3Cebpa
L1200	Dlx4
L1201	NFIX
L1202	Dlx4
L1203	PITX2
L1204	TBX3
L1205	TBX3
L1206	RORC
L1207	XBP1
L1208	Arnt
L1209	MEIS1
L121	Arid3a
L1210	TBX3
L1211	TBX3
L1212	CLOCK
L1213	TBX3
L1214	TBX3
L1215	Dlx4
L1216	RORA
L1217	Ddit3Cebpa
L1218	FOXO4
L1219	NFIX
L122	NFATC1
L1220	Dlx4
L1221	FOS
L1222	TBX3
L1223	NFIX
L1224	TBX3
L1225	NFIX
L1226	TBX3
L1227	Dlx4
L1228	TBX3
L1229	TBX3
L123	Arid3a
L1230	NR4A2
L1231	NFIA
L1232	Tcfcp2l1
L1233	Arid3a
L1234	MEIS1
L1235	Bhlha15
L1236	Creb3l2
L1237	RORA
L1238	MEIS1
L1239	NFIX
L124	TBX3
L1240	TBX3
L1241	Dlx4
L1242	Arnt
L1243	Creb3l2
L1244	TBX3
L1245	NFIX
L1246	Ddit3Cebpa
L1247	TBX3
L1248	NR4A1
L1249	Nr1h3Rxra
L125	NFATC1
L1250	Arnt
L1251	TBX3
L1252	MEIS1
L1253	MEIS1
L1254	NFIA
L1255	TBX3
L1256	Dlx4
L1257	NFIX
L1258	NR4A2
L1259	NFIX
L126	Ddit3Cebpa
L1260	NFATC1
L1261	TBX3
L1262	NFIX
L1263	NR4A1
L1264	Tcfcp2l1
L1265	NR4A1
L1266	FOXC2
L1267	FOXC2
L1268	Arid3a
L1269	TBX3
L127	Irx2
L1270	MEIS1
L1271	TBX3
L1272	FOXC2
L1273	FOXC2
L1274	FOXC2
L1275	FOXC2
L1276	FOXC2
L1277	FOXC2
L1278	FOXC2
L1279	FOXC2
L128	Ddit3Cebpa
L1280	FOXC2
L1281	FOXC2
L1282	FOXC2
L1283	MEIS1
L1284	MEIS1
L1285	TBX3
L1286	TBX3
L1287	ZBTB26
L1288	TBX3
L1289	TBX3
L129	EHF
L1290	TBX3
L1291	NFIX
L1292	TBX3
L1293	FOXO3
L1294	BARX2
L1295	FOXO4
L1296	FOXO3
L1297	SOX9
L1298	FOXO3
L1299	FOXO3
L13	MEIS1
L130	Irx2
L1300	ZBTB26
L1301	Creb3l2
L1302	TBX3
L1303	ZBTB26
L1304	TP73
L1305	ZBTB26
L1306	Creb3l2
L1307	NFATC1
L1308	ELK4
L1309	Arnt
L131	ELK4
L1310	FIGLA
L1311	ELF5
L1312	Arnt
L1313	FOXO4
L1314	FOXI1
L1315	FOXO4
L1316	FOXO4
L1317	FOXO4
L1318	TBX3
L1319	MEIS1
L132	NFATC1
L1320	EHF
L1321	JUN
L1322	CREM
L1323	SPDEF
L1324	JUN
L1325	ATF4
L1326	CREM
L1327	NFIX
L1328	Arid3a
L1329	Arid3a
L133	ELF5
L1330	Dlx4
L1331	Arid3a
L1332	Arid3a
L1333	NFIX
L1334	NFATC1
L1335	ELK4
L1336	FOSB
L1337	ATF4
L1338	XBP1
L1339	NFIX
L134	MEIS1
L1340	NFIA
L1341	Dlx4
L1342	Arid3a
L1343	MEIS1
L1344	NFIX
L1345	FOSB
L1346	MEIS1
L1347	EHF
L1348	MEIS1
L1349	TBX3
L135	TBX3
L1350	TBX3
L1351	TBX3
L1352	Creb3l2
L1353	Ddit3Cebpa
L1354	Ddit3Cebpa
L1355	ELF5
L1356	Arnt
L1357	TBX3
L1358	NFATC1
L1359	NFATC1
L136	Irx2
L1360	Arid3a
L1361	SOX9
L1362	SOX9
L1363	FIGLA
L1364	FOS
L1365	MEIS1
L1366	FIGLA
L1367	ZNF652
L1368	TFAP4
L1369	NFIX
L137	JUN
L1370	ZNF652
L1371	MEIS1
L1372	Dlx4
L1373	TBX3
L1374	ZNF652
L1375	RORC
L1376	NFIX
L1377	SOX9
L1378	NFIX
L1379	SOX9
L138	Arid3a
L1380	ZBTB26
L1381	Arid3a
L1382	Arid3a
L1383	NFIX
L1384	TBX3
L1385	ZNF652
L1386	ZNF652
L1387	MEIS1
L1388	NFIX
L1389	FOXC2
L139	NFATC1
L1390	NFIX
L1391	TBX3
L1392	MEIS1
L1393	NFIX
L1394	ELF5
L1395	NFATC1
L1396	ELF5
L1397	Dlx4
L1398	NFIX
L1399	NFIA
L14	TBX3
L140	JUN
L1400	ZBTB26
L1401	Arid3a
L1402	NFIX
L1403	NFIA
L1404	TBX3
L1405	NFIX
L1406	NFIX
L1407	NFIX
L1408	PITX2
L1409	PITX2
L141	Arid3a
L1410	Dlx4
L1411	TBX3
L1412	PITX2
L1413	TBX3
L1414	BARX2
L1415	MEIS1
L1416	TBX3
L1417	MEIS1
L1418	FOXO4
L1419	SREBF1
L142	Ddit3Cebpa
L1420	FIGLA
L1421	TBX3
L1422	TBX3
L1423	NFATC1
L1424	ELF5
L1425	SOX9
L1426	TBX3
L1427	Tcfcp2l1
L1428	NFATC1
L1429	ELF5
L143	Ddit3Cebpa
L1430	ZBTB6
L1431	ZBTB26
L1432	ELF5
L1433	TBX3
L1434	ELK4
L1435	ZBTB26
L1436	NFATC1
L1437	FOXO4
L1438	PITX2
L1439	SREBF2
L144	Ddit3Cebpa
L1440	NFATC1
L1441	ELF5
L1442	NFATC1
L1443	ZBTB26
L1444	MEIS1
L1445	NFATC1
