Tip100	type	Arid3a_PRE	MEIS1_PRE	NFIX_PRE	Arid3a.1_PRE	SOX9_PRE	Arid3a.2_PRE	SOX10_PRE	NFATC1_PRE	ATF4_PRE	Arid3a.3_PRE	Ddit3Cebpa_PRE	Arid3a.4_PRE	SOX10.1_PRE	NFATC1.1_PRE	ZBTB26_PRE	NFATC1.2_PRE	Arid3a.5_PRE	Arid3a.6_PRE	JUN_PRE	TBX3_PRE	Dlx4_PRE	Dlx4.1_PRE	TBX3.1_PRE	Ddit3Cebpa.1_PRE	TFAP4_PRE	Ddit3Cebpa.2_PRE	Dlx4.2_PRE	ZBTB26.1_PRE	SOX9.1_PRE	NFATC1.3_PRE	TBX3_RE	MEIS1_RE	Creb3l2_RE	TBX3.1_RE	MEIS1.1_RE	TBX3.2_RE	POU6F1_RE	NFATC1_RE	Creb3l2.1_RE	Creb3l2.2_RE	PITX2_RE	MEIS1.2_RE	Dlx4_RE	NFATC1.1_RE	CREB3L1_RE	Irx2_RE	Irx2.1_RE	TBX3.3_RE	EHF_RE	ELF5_RE	MEIS1.3_RE
SVSP_Cv1-hAT-Tip100_1	CRE	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	0	2	2	0	2	0	2	0	2	0	2	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_2	nonCRE	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_3	nonCRE	2	2	2	0	0	2	0	0	0	2	0	2	2	0	2	2	2	2	0	2	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_4	CRE	2	1	1	2	0	2	0	0	2	0	1	2	2	2	2	2	0	0	1	0	2	2	0	2	0	0	2	2	2	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SVSP_Cv1-hAT-Tip100_5	nonCRE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SVSP_Cv1-hAT-Tip100_6	nonCRE	2	2	2	1	1	2	1	1	2	2	1	2	2	2	0	0	2	2	2	2	2	2	0	2	2	1	2	0	2	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SVSP_Cv1-hAT-Tip100_7	CRE	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_8	nonCRE	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	2
SVSP_Cv1-hAT-Tip100_9	CRE	1	1	1	0	0	1	0	0	0	1	0	1	1	0	2	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_10	nonCRE	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
