id	chrom	start	end	strand	species	short_name
NonVen_Cv1-hAT-Tip100_1	scaffold-Z	5426012	5426407	+	croVir3	NonVen_Cv1-hAT-Tip100_1
NonVen_Cv1-hAT-Tip100_2	scaffold-Z	5426799	5427173	+	croVir3	NonVen_Cv1-hAT-Tip100_2
NonVen_Cv1-hAT-Tip100_3	scaffold-Z	5581392	5581664	-	croVir3	NonVen_Cv1-hAT-Tip100_3
NonVen_Cv1-hAT-Tip100_4	scaffold-Z	5583344	5583487	-	croVir3	NonVen_Cv1-hAT-Tip100_4
NonVen_Cv1-hAT-Tip100_5	scaffold-Z	5784721	5785097	-	croVir3	NonVen_Cv1-hAT-Tip100_5
NonVen_Cv1-hAT-Tip100_6	scaffold-Z	8264630	8265037	-	croVir3	NonVen_Cv1-hAT-Tip100_6
NonVen_Cv1-hAT-Tip100_7	scaffold-Z	10791080	10791472	-	croVir3	NonVen_Cv1-hAT-Tip100_7
NonVen_Cv1-hAT-Tip100_8	scaffold-Z	10802016	10802099	-	croVir3	NonVen_Cv1-hAT-Tip100_8
NonVen_Cv1-hAT-Tip100_9	scaffold-Z	11182936	11183331	+	croVir3	NonVen_Cv1-hAT-Tip100_9
NonVen_Cv1-hAT-Tip100_10	scaffold-Z	17164351	17164573	-	croVir3	NonVen_Cv1-hAT-Tip100_10
NonVen_Cv1-hAT-Tip100_11	scaffold-Z	17181916	17182186	-	croVir3	NonVen_Cv1-hAT-Tip100_11
NonVen_Cv1-hAT-Tip100_12	scaffold-Z	17182216	17182309	-	croVir3	NonVen_Cv1-hAT-Tip100_12
NonVen_Cv1-hAT-Tip100_13	scaffold-Z	26182999	26183394	+	croVir3	NonVen_Cv1-hAT-Tip100_13
NonVen_Cv1-hAT-Tip100_14	scaffold-Z	29851554	29851945	+	croVir3	NonVen_Cv1-hAT-Tip100_14
NonVen_Cv1-hAT-Tip100_15	scaffold-Z	35483248	35483545	+	croVir3	NonVen_Cv1-hAT-Tip100_15
NonVen_Cv1-hAT-Tip100_16	scaffold-Z	46827336	46827733	+	croVir3	NonVen_Cv1-hAT-Tip100_16
NonVen_Cv1-hAT-Tip100_17	scaffold-Z	50782884	50783259	-	croVir3	NonVen_Cv1-hAT-Tip100_17
NonVen_Cv1-hAT-Tip100_18	scaffold-Z	51038503	51038926	+	croVir3	NonVen_Cv1-hAT-Tip100_18
NonVen_Cv1-hAT-Tip100_19	scaffold-Z	57137779	57138200	-	croVir3	NonVen_Cv1-hAT-Tip100_19
NonVen_Cv1-hAT-Tip100_20	scaffold-Z	58118888	58119271	+	croVir3	NonVen_Cv1-hAT-Tip100_20
NonVen_Cv1-hAT-Tip100_21	scaffold-Z	58123414	58123797	+	croVir3	NonVen_Cv1-hAT-Tip100_21
NonVen_Cv1-hAT-Tip100_22	scaffold-Z	61238360	61238741	-	croVir3	NonVen_Cv1-hAT-Tip100_22
NonVen_Cv1-hAT-Tip100_23	scaffold-Z	61919824	61920215	-	croVir3	NonVen_Cv1-hAT-Tip100_23
NonVen_Cv1-hAT-Tip100_24	scaffold-Z	62801737	62802132	-	croVir3	NonVen_Cv1-hAT-Tip100_24
NonVen_Cv1-hAT-Tip100_25	scaffold-Z	64428714	64428881	-	croVir3	NonVen_Cv1-hAT-Tip100_25
NonVen_Cv1-hAT-Tip100_26	scaffold-Z	64585810	64586208	+	croVir3	NonVen_Cv1-hAT-Tip100_26
NonVen_Cv1-hAT-Tip100_27	scaffold-Z	64638019	64638185	+	croVir3	NonVen_Cv1-hAT-Tip100_27
NonVen_Cv1-hAT-Tip100_28	scaffold-Z	69054937	69054986	+	croVir3	NonVen_Cv1-hAT-Tip100_28
NonVen_Cv1-hAT-Tip100_29	scaffold-Z	69061330	69061667	+	croVir3	NonVen_Cv1-hAT-Tip100_29
NonVen_Cv1-hAT-Tip100_30	scaffold-Z	70402229	70402548	+	croVir3	NonVen_Cv1-hAT-Tip100_30
NonVen_Cv1-hAT-Tip100_31	scaffold-Z	70402990	70403067	+	croVir3	NonVen_Cv1-hAT-Tip100_31
NonVen_Cv1-hAT-Tip100_32	scaffold-Z	71653808	71654229	+	croVir3	NonVen_Cv1-hAT-Tip100_32
NonVen_Cv1-hAT-Tip100_33	scaffold-Z	72792647	72793044	+	croVir3	NonVen_Cv1-hAT-Tip100_33
NonVen_Cv1-hAT-Tip100_34	scaffold-Z	73121745	73121915	-	croVir3	NonVen_Cv1-hAT-Tip100_34
NonVen_Cv1-hAT-Tip100_35	scaffold-Z	73122507	73122592	-	croVir3	NonVen_Cv1-hAT-Tip100_35
NonVen_Cv1-hAT-Tip100_36	scaffold-Z	74213014	74213383	+	croVir3	NonVen_Cv1-hAT-Tip100_36
NonVen_Cv1-hAT-Tip100_37	scaffold-Z	75604717	75605113	-	croVir3	NonVen_Cv1-hAT-Tip100_37
NonVen_Cv1-hAT-Tip100_38	scaffold-Z	78957563	78957958	+	croVir3	NonVen_Cv1-hAT-Tip100_38
NonVen_Cv1-hAT-Tip100_39	scaffold-Z	80485289	80485686	-	croVir3	NonVen_Cv1-hAT-Tip100_39
NonVen_Cv1-hAT-Tip100_40	scaffold-Z	80716880	80717277	+	croVir3	NonVen_Cv1-hAT-Tip100_40
NonVen_Cv1-hAT-Tip100_41	scaffold-Z	82044593	82044642	+	croVir3	NonVen_Cv1-hAT-Tip100_41
NonVen_Cv1-hAT-Tip100_42	scaffold-Z	82045007	82045174	+	croVir3	NonVen_Cv1-hAT-Tip100_42
NonVen_Cv1-hAT-Tip100_43	scaffold-Z	89952963	89953326	+	croVir3	NonVen_Cv1-hAT-Tip100_43
