Tip100	OpenChrVG	tpm	type	Arid3a	MEIS1	NFIX	SOX9	SOX10	NFATC1	ATF4	Ddit3Cebpa	ZBTB26	JUN	TBX3	Dlx4	TFAP4
NonVen_Cv1-hAT-Tip100_377	FALSE	NA	NA	3	0	0	1	0	1	0	0	2	0	0	1	1
NonVen_Cv1-hAT-Tip100_356	FALSE	NA	NA	4	0	1	1	0	0	0	2	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_241	FALSE	NA	NA	6	1	1	1	1	1	0	0	2	0	1	1	1
NonVen_Cv1-hAT-Tip100_380	FALSE	NA	NA	6	1	1	1	2	2	1	1	1	1	1	3	1
NonVen_Cv1-hAT-Tip100_386	FALSE	NA	NA	2	1	1	0	0	2	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_242	FALSE	NA	NA	0	0	0	1	0	1	0	1	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_243	FALSE	NA	NA	5	0	0	0	0	1	0	0	1	0	1	2	0
NonVen_Cv1-hAT-Tip100_316	FALSE	NA	NA	2	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_317	FALSE	NA	NA	2	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_48	FALSE	NA	NA	3	1	1	0	1	1	0	0	0	0	0	2	0
NonVen_Cv1-hAT-Tip100_109	FALSE	NA	NA	4	1	1	1	0	2	0	1	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_381	FALSE	NA	NA	3	1	1	0	0	1	0	0	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_49	FALSE	NA	NA	4	0	0	1	0	1	0	0	1	0	1	0	1
NonVen_Cv1-hAT-Tip100_110	FALSE	NA	NA	3	0	0	0	0	0	0	0	1	0	0	0	0
NonVen_Cv1-hAT-Tip100_1	FALSE	NA	NA	7	1	1	2	1	4	0	0	2	0	2	3	1
NonVen_Cv1-hAT-Tip100_2	FALSE	NA	NA	7	1	1	1	1	2	0	0	2	0	2	3	1
NonVen_Cv1-hAT-Tip100_3	FALSE	NA	NA	3	1	0	0	0	0	0	0	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_4	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_244	FALSE	NA	NA	6	1	1	1	1	3	1	0	2	0	0	0	0
NonVen_Cv1-hAT-Tip100_192	FALSE	NA	NA	1	0	0	1	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_5	FALSE	NA	NA	5	0	1	1	2	4	1	3	1	1	2	2	0
NonVen_Cv1-hAT-Tip100_318	FALSE	NA	NA	5	1	1	2	1	4	1	1	1	1	1	2	1
NonVen_Cv1-hAT-Tip100_382	FALSE	NA	NA	5	1	1	2	1	4	1	2	2	1	2	2	0
NonVen_Cv1-hAT-Tip100_193	FALSE	NA	NA	5	0	0	2	2	4	1	2	1	1	2	3	1
NonVen_Cv1-hAT-Tip100_111	FALSE	NA	NA	7	1	1	1	1	3	1	3	2	1	2	3	1
NonVen_Cv1-hAT-Tip100_319	FALSE	NA	NA	3	1	1	1	0	2	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_112	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_113	FALSE	NA	NA	1	1	1	0	1	2	1	1	2	1	1	2	0
NonVen_Cv1-hAT-Tip100_114	FALSE	NA	NA	2	0	0	0	0	0	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_115	FALSE	NA	NA	5	1	1	1	1	2	0	0	2	0	1	2	0
NonVen_Cv1-hAT-Tip100_6	FALSE	NA	NA	4	1	1	0	1	2	1	1	0	1	0	2	0
NonVen_Cv1-hAT-Tip100_116	FALSE	NA	NA	0	0	0	0	0	1	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_117	TRUE	NA	NA	5	1	1	0	1	2	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_297	FALSE	NA	NA	3	1	1	0	1	1	0	0	0	0	1	0	0
SVSP_Cv1-hAT-Tip100_1	TRUE	1446.69	enhancer	7	1	1	1	1	3	1	3	1	1	2	2	1
SVSP_Cv1-hAT-Tip100_2	FALSE	NA	NA	7	1	0	2	0	4	0	2	1	0	2	3	1
SVSP_Cv1-hAT-Tip100_3	TRUE	NA	NA	6	1	1	1	1	1	0	0	2	0	1	1	1
SVSP_Cv1-hAT-Tip100_4	TRUE	1980.96	promoter	4	1	1	1	1	3	1	2	2	1	0	3	0
SVSP_Cv1-hAT-Tip100_5	TRUE	NA	NA	7	1	1	2	2	3	1	3	0	1	1	3	1
SVSP_Cv1-hAT-Tip100_6	TRUE	NA	NA	7	1	1	2	2	3	1	3	0	1	1	3	1
SVSP_Cv1-hAT-Tip100_7	TRUE	1446.69	promoter	7	1	1	2	1	4	1	2	2	1	2	3	1
SVSP_Cv1-hAT-Tip100_8	TRUE	NA	NA	4	0	0	1	0	0	0	0	1	0	0	0	1
SVSP_Cv1-hAT-Tip100_9	TRUE	243.078	promoter	6	1	1	1	1	1	0	0	2	0	1	1	1
SVSP_Cv1-hAT-Tip100_10	FALSE	NA	NA	7	1	1	2	2	4	0	2	1	0	2	3	1
SVSP_Cv1-hAT-Tip100_11	TRUE	NA	NA	7	1	1	2	2	4	0	2	1	0	2	3	1
SVSP_Cv1-hAT-Tip100_12	TRUE	1900.54	promoter	7	1	1	1	1	3	1	1	1	1	2	3	0
SVSP_Cv1-hAT-Tip100_13	TRUE	NA	NA	5	1	1	1	1	1	0	0	2	0	1	1	1
SVSP_Cv1-hAT-Tip100_14	TRUE	NA	NA	5	1	1	1	1	1	0	0	2	0	1	1	1
SVSP_Cv1-hAT-Tip100_15	TRUE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_16	TRUE	NA	NA	5	1	1	1	1	1	0	0	2	0	0	1	1
SVSP_Cv1-hAT-Tip100_17	TRUE	19307	promoter	5	1	1	2	2	2	1	3	1	1	2	2	1
SVSP_Cv1-hAT-Tip100_18	TRUE	NA	NA	6	1	1	2	2	2	1	3	2	1	2	2	1
SVSP_Cv1-hAT-Tip100_19	TRUE	NA	NA	4	1	1	2	2	3	1	3	2	1	2	3	1
SVSP_Cv1-hAT-Tip100_20	TRUE	NA	NA	5	1	1	2	2	3	1	3	2	1	2	3	1
SVSP_Cv1-hAT-Tip100_21	TRUE	1446.69	enhancer	5	1	1	1	1	1	0	0	2	0	1	1	1
SVSP_Cv1-hAT-Tip100_22	TRUE	11553.1	enhancer	6	1	1	2	1	2	1	2	1	1	2	2	0
