seqnames	start	end	name	type	cre_shape
scaffoldmi1	11860432	11860797	Venom_SVSP-1	promoter	24
scaffoldmi1	11881547	11883374	Venom_SVSP-2	promoter	24
scaffoldmi1	11938014	11938985	Venom_SVSP-3	promoter	24
scaffoldmi1	11956662	11957662	Venom_SVSP-4	promoter	24
scaffoldmi1	11965208	11966208	Venom_SVSP-5	promoter	24
scaffoldmi1	11989576	11990576	Venom_SVSP-6	promoter	24
scaffoldmi1	12038046	12039046	Venom_SVSP-7	promoter	24
scaffoldmi1	12127173	12127987	Venom_SVSP-8	promoter	24
scaffoldmi1	12167064	12167760	Venom_SVSP-9	promoter	24
scaffoldmi1	12212212	12213038	Venom_SVSP-10	promoter	24
scaffoldmi1	12234987	12236048	Venom_SVSP-11	promoter	24
scaffoldmi1	12258715	12260612	Venom_SVSP-12	promoter	24
scaffoldmi1	12305160	12306160	Venom_SVSP-13	promoter	24
scaffoldmi1	12342032	12343032	Venom_SVSP-14	promoter	24
scaffoldmi1	12382068	12382490	Venom_SVSP-15	promoter	24
scaffoldmi1	12404743	12405005	Venom_SVSP-16	promoter	24
scaffoldmi1	12441442	12442442	Venom_SVSP-17	promoter	24
scaffoldmi1	12487193	12487488	Venom_SVSP-18	promoter	24
scaffoldmi1	12504301	12505223	Venom_SVSP-19	promoter	24
scaffoldmi1	12589862	12590472	Venom_SVSP-20	promoter	24
scaffoldmi1	12727382	12728273	Venom_SVSP-22	promoter	24
scaffoldmi1	12832177	12833080	Venom_SVSP-25	promoter	24
scaffoldmi1	12867585	12867832	Venom_SVSP-26	promoter	24
scaffoldmi1	12901749	12902749	Venom_SVSP-27	promoter	24
scaffoldmi1	12947585	12948369	Venom_SVSP-28	promoter	24
scaffoldmi1	11939446	11939946	PER1_SVSP3	enhancer	23
scaffoldmi1	12125324	12125824	PER2_SVSP8	enhancer	23
scaffoldmi1	12166813	12167313	PER3_SVSP9	enhancer	23
scaffoldmi1	12183300	12183800	PER4_SVSP9|SVSP10	enhancer	23
scaffoldmi1	12184562	12185062	PER5_SVSP9|SVSP10	enhancer	23
scaffoldmi1	12210892	12211392	PER6_SVSP10	enhancer	23
scaffoldmi1	12234736	12235236	PER7_SVSP10	enhancer	23
scaffoldmi1	12624589	12625089	PER8_SVSP20	enhancer	23
scaffoldmi1	12741026	12741526	PER9_SVSP22	enhancer	23
scaffoldmi1	12744442	12744942	PER10_SVSP22	enhancer	23
scaffoldmi1	12745545	12746045	PER11_SVSP22	enhancer	23
scaffoldmi1	12748533	12749033	PER12_SVSP22	enhancer	23
scaffoldmi1	12749415	12749915	PER13_SVSP22	enhancer	23
scaffoldmi1	12750728	12751228	PER14_SVSP22	enhancer	23
scaffoldmi1	12820015	12820515	PER15_SVSP25	enhancer	23
scaffoldmi1	12822318	12822818	PER16_SVSP25	enhancer	23
